Execution time: 411.7426347732544 seconds

Number of crossovers applied: 1178
Number of mutations applied: 99

Best individuals and their accuracies for each test:
Test 1 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 2 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 3 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 4 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 5 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 6 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 7 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 8 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 9 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 10 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 11 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 12 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 13 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 14 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 15 => Best Individual: 11110001, Fitness: 0.7857142857142857
Test 16 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 17 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 18 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 19 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 20 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 21 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 22 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 23 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 24 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 25 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 26 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 27 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 28 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 29 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 30 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 31 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 32 => Best Individual: 11100111, Fitness: 0.7987012987012987
Test 33 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 34 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 35 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 36 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 37 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 38 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 39 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 40 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 41 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 42 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 43 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 44 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 45 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 46 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 47 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 48 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 49 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 50 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 51 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 52 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 53 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 54 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 55 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 56 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 57 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 58 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 59 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 60 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 61 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 62 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 63 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 64 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 65 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 66 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 67 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 68 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 69 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 70 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 71 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 72 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 73 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 74 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 75 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 76 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 77 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 78 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 79 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 80 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 81 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 82 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 83 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 84 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 85 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 86 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 87 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 88 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 89 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 90 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 91 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 92 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 93 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 94 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 95 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 96 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 97 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 98 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 99 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 100 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 101 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 102 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 103 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 104 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 105 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 106 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 107 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 108 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 109 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 110 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 111 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 112 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 113 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 114 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 115 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 116 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 117 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 118 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 119 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 120 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 121 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 122 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 123 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 124 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 125 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 126 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 127 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 128 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 129 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 130 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 131 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 132 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 133 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 134 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 135 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 136 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 137 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 138 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 139 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 140 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 141 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 142 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 143 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 144 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 145 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 146 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 147 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 148 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 149 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 150 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 151 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 152 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 153 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 154 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 155 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 156 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 157 => Best Individual: 01100111, Fitness: 0.8051948051948052
