Execution time: 1022.58833360672 seconds

Number of crossovers applied: 2950
Number of mutations applied: 231

Best individuals and their accuracies for each test:
Test 1 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 2 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 3 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 4 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 5 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 6 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 7 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 8 => Best Individual: 01101111, Fitness: 0.8051948051948052
Test 9 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 10 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 11 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 12 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 13 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 14 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 15 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 16 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 17 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 18 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 19 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 20 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 21 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 22 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 23 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 24 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 25 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 26 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 27 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 28 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 29 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 30 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 31 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 32 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 33 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 34 => Best Individual: 01100111, Fitness: 0.8051948051948052
